Supergroup	Group	Node	Minimum	Maximum	Reference	Comment
Rhizaria	Cercozoa	Melicerion_poilon	742	na	Porter 2006; Porter et al, 2003; Porter and Knoll, 2000	Calibration from biomarkers; Stratigraphic range 742-770
Rhizaria	Foraminifera	Foraminifera	542	920	Groussin et al., 2011; Seilacher et al., 2003; McIlroy et al. 2001	na
Rhizaria	Foraminifera	Miliolids	350	na	Groussin et al., 2011	na
Rhizaria	Radiolaria	Nassellaria	342	514	Sandin et al. 2019; De Wever et al. 2001	na
Rhizaria	Radiolaria	Eucyrtidioidea	230	262	Sandin et al. 2019; Sugiyama, 1997	na
Rhizaria	Radiolaria	Lophophaenidae	174	207	Sandin et al. 2019; De Wever et al. 1982	na
Rhizaria	Radiolaria	Artostrobioidea	165	198	Sandin et al. 2019; Matsuoka, 2004	na
Rhizaria	Radiolaria	Cannobotryoidea	106	139	Sandin et al. 2019; Matsuzaki et al. 2015; O’Dogherty et al. 2009	na
Rhizaria	Radiolaria	Acanthodesmoidea	62	71	Sandin et al. 2019; Kozlova 1983, 1999	na
Rhizaria	Radiolaria	Bekomidae	58	66	Sandin et al. 2019; De Wever et al. 2001; Nishimura 1992	na
Rhizaria	Radiolaria	Pterocorythoidea	53	61	Sandin et al. 2019; Sanfilippo and Riedel 1992	na
Rhizaria	Radiolaria	Collosphaeridae	53	61	De Wever et al. 2001	na
Rhizaria	Radiolaria	Spumellaria	453	584	Sandin et al. 2021; De Wever et al. 2001	na
Rhizaria	Radiolaria	Hexastyloidea	226	258	Sandin et al. 2021; O’Dogherty et al. 2011	na
Rhizaria	Radiolaria	Liosphaeroidea	202	264	Sandin et al. 2021; Matsuzaki et al. 2015	na
Rhizaria	Radiolaria	Actinommidae	147	193	Sandin et al. 2021; O’Dogherty et al. 2011	na
Rhizaria	Radiolaria	Pylonioidea	90	104	Sandin et al. 2021; Afanasieva and Amon 2006; De Wever et al. 2001, 2003	na
Rhizaria	Radiolaria	Coccodiscoidea	42	48	Sandin et al. 2021; Afanasieva and Amon 2006; De Wever et al. 2001	na
Stramenopila	Diatoms	Bacillariophyta	190	541	Strassert et al. 2021; Seilacher et al., 2003; McIlroy et al. 2001	na
Stramenopila	Diatoms	Coscinodiscophytina	190	na	Sanchez-Baracaldo et al. 2017; Sims et al. 2006	na
Stramenopila	Diatoms	Bacillariophytina	110	na	Sanchez-Baracaldo et al. 2017; Sims et al. 2006	na
Stramenopila	Diatoms	Pennates	75	190	Strassert et al. 2021; Lewitus et al., 2018; Sorhannus, 2007; Sims et al., 2006	In Lewitus et al (2018) min 108–max 142; in Strassert et al (2021): max 190
Stramenopila	Diatoms	Thalassiosirales	72	104	Lewitus et al., 2018; Kooistra & Medlin, 1996	na
Stramenopila	Diatoms	Odontella	66	71	Sorhannus, 2007	na
Stramenopila	Diatoms	Skeletonema	65	90	Lewitus et al., 2018; Strelnikova, Nova hedwigia. Beihefte, 1975	na
Stramenopila	Diatoms	Chaetoceros	55	65	Lewitus et al., 2018; Kooistra & Medlin, 1996; Ciesielski et al., 1991	na
Stramenopila	Diatoms	Pinnularia	47	80	Lewitus et al., 2018; Souffreau et al., 2011	na
Stramenopila	Diatoms	Aulacoseira	32	65	Lewitus et al., 2018; Wolfe et al., 1996	na
Stramenopila	Diatoms	Thalassionema	16	23	Lewitus et al., 2018; Sims et al,. 2006	na
